                       trigger     Log(Pbol[0.001,20000]Kev)     Log(Sbol[0.001,20000]Kev)                      Log(Epk)                  Log(EPR1024)                      Log(EFR)                  Log(FPR1024)                      Log(T90)
                          6395                 -0.615872E+01                 -0.553152E+01                  0.304400E+01                  0.920272E+01                  0.857552E+01                  0.627200E+00                  0.125648E+01
                           204                 -0.621384E+01                 -0.548124E+01                  0.294400E+01                  0.915784E+01                  0.842524E+01                  0.732600E+00                  0.179699E+01
                          7963                 -0.629120E+01                 -0.533800E+01                  0.300100E+01                  0.929220E+01                  0.833900E+01                  0.953200E+00                  0.111992E+01
                          1384                 -0.619313E+01                 -0.616339E+01                  0.259300E+01                  0.878613E+01                  0.875639E+01                  0.297400E-01                  0.169152E+01
                          2825                 -0.648003E+01                 -0.524583E+01                  0.299500E+01                  0.947503E+01                  0.824083E+01                  0.123420E+01                  0.150651E+01
                          7924                 -0.657302E+01                 -0.570372E+01                  0.277400E+01                  0.934702E+01                  0.847772E+01                  0.869300E+00                  0.181090E+01
                          6519                 -0.624959E+01                 -0.554839E+01                  0.283600E+01                  0.908559E+01                  0.838439E+01                  0.701200E+00                  0.211727E+01
                          2691                 -0.613306E+01                 -0.468436E+01                  0.321600E+01                  0.934906E+01                  0.790036E+01                  0.144870E+01                  0.142732E+01
                          2508                 -0.631658E+01                 -0.505748E+01                  0.304200E+01                  0.935858E+01                  0.809948E+01                  0.125910E+01                  0.146509E+01
                          5559                 -0.650286E+01                 -0.581616E+01                  0.267900E+01                  0.918186E+01                  0.849516E+01                  0.686700E+00                  0.122376E+01
                          7656                 -0.610244E+01                 -0.499424E+01                  0.304500E+01                  0.914744E+01                  0.803924E+01                  0.110820E+01                  0.177887E+01
                          6698                 -0.612846E+01                 -0.491766E+01                  0.305600E+01                  0.918446E+01                  0.797366E+01                  0.121080E+01                  0.200389E+01
                          7563                 -0.629901E+01                 -0.609322E+01                  0.249900E+01                  0.879801E+01                  0.859222E+01                  0.205790E+00                  0.885360E+00
                          6370                 -0.677912E+01                 -0.661102E+01                  0.224300E+01                  0.902212E+01                  0.885402E+01                  0.168100E+00                  0.160831E+01
                          2725                 -0.647759E+01                 -0.549959E+01                  0.277600E+01                  0.925359E+01                  0.827559E+01                  0.978000E+00                  0.105423E+01
                          6228                 -0.662070E+01                 -0.612892E+01                  0.245200E+01                  0.907270E+01                  0.858092E+01                  0.491780E+00                  0.148287E+01
                          2114                 -0.643919E+01                 -0.598889E+01                  0.251700E+01                  0.895619E+01                  0.850589E+01                  0.450300E+00                  0.855400E+00
                          3465                 -0.630222E+01                 -0.513892E+01                  0.291700E+01                  0.921922E+01                  0.805592E+01                  0.116330E+01                  0.123198E+01
                          6670                 -0.607418E+01                 -0.475988E+01                  0.306300E+01                  0.913718E+01                  0.782288E+01                  0.131430E+01                  0.160552E+01
                          6539                 -0.552220E+01                 -0.405980E+01                  0.335200E+01                  0.887420E+01                  0.741180E+01                  0.146240E+01                  0.113450E+01
                          7535                 -0.674759E+01                 -0.663989E+01                  0.215200E+01                  0.889959E+01                  0.879189E+01                  0.107700E+00                  0.990870E+00
                          5494                 -0.627739E+01                 -0.579209E+01                  0.256300E+01                  0.884039E+01                  0.835509E+01                  0.485300E+00                  0.150515E+01
                          1551                 -0.626407E+01                 -0.510267E+01                  0.288300E+01                  0.914707E+01                  0.798567E+01                  0.116140E+01                  0.146894E+01
                          5612                 -0.639838E+01                 -0.470538E+01                  0.305200E+01                  0.945038E+01                  0.775738E+01                  0.169300E+01                  0.186421E+01
                          7749                 -0.675062E+01                 -0.592452E+01                  0.247800E+01                  0.922862E+01                  0.840252E+01                  0.826100E+00                  0.128330E+01
                          6339                 -0.597145E+01                 -0.498386E+01                  0.290700E+01                  0.887845E+01                  0.789086E+01                  0.987590E+00                  0.118270E+01
                          3935                 -0.635258E+01                 -0.495658E+01                  0.291400E+01                  0.926658E+01                  0.787058E+01                  0.139600E+01                  0.143505E+01
                          3671                 -0.616317E+01                 -0.530357E+01                  0.275000E+01                  0.891317E+01                  0.805357E+01                  0.859600E+00                  0.184658E+01
                           559                 -0.653191E+01                 -0.476091E+01                  0.299800E+01                  0.952991E+01                  0.775891E+01                  0.177100E+01                  0.153377E+01
                          2551                 -0.652520E+01                 -0.588480E+01                  0.246600E+01                  0.899120E+01                  0.835080E+01                  0.640400E+00                  0.180202E+01
                          3321                 -0.657318E+01                 -0.576538E+01                  0.252300E+01                  0.909618E+01                  0.828838E+01                  0.807800E+00                  0.136003E+01
                           840                 -0.605373E+01                 -0.520658E+01                  0.278800E+01                  0.884173E+01                  0.799458E+01                  0.847150E+00                  0.188389E+01
                          5618                 -0.627916E+01                 -0.518206E+01                  0.278900E+01                  0.906816E+01                  0.797106E+01                  0.109710E+01                  0.134518E+01
                          8061                 -0.630458E+01                 -0.475998E+01                  0.298000E+01                  0.928458E+01                  0.773998E+01                  0.154460E+01                  0.143040E+01
                          2081                 -0.619425E+01                 -0.508435E+01                  0.282800E+01                  0.902225E+01                  0.791235E+01                  0.110990E+01                  0.119535E+01
                          2233                 -0.675963E+01                 -0.546813E+01                  0.263300E+01                  0.939263E+01                  0.810113E+01                  0.129150E+01                  0.115259E+01
                          3807                 -0.638218E+01                 -0.581518E+01                  0.245600E+01                  0.883818E+01                  0.827118E+01                  0.567000E+00                  0.755570E+00
