                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                          6219                  0.182901E-05                  0.221383E-06                  0.690240E+03                  0.275201E+01                 -0.573778E+01                 -0.665486E+01                  0.283900E+01                  0.439650E+00                  0.254300E+00                  0.193787E+00                  0.857678E+01                  0.949386E+01                  0.239935E+01                 -0.917072E+00                  0.617743E+01                  0.709451E+01                 -0.289878E+01                 -0.381586E+01                  0.327865E+01                 -0.123926E+02                 -0.529813E+01                 -0.621521E+01
                           108                  0.145270E-05                  0.276982E-05                  0.159588E+04                  0.313603E+01                 -0.583782E+01                 -0.555755E+01                  0.320300E+01                  0.496380E+00                 -0.904400E-01                 -0.143375E+00                  0.904082E+01                  0.876055E+01                  0.270662E+01                  0.280277E+00                  0.633420E+01                  0.605393E+01                 -0.263482E+01                 -0.235455E+01                  0.369938E+01                 -0.113954E+02                 -0.534144E+01                 -0.506117E+01
                          5458                  0.755736E-06                  0.330931E-07                  0.534564E+02                  0.239999E-01                 -0.612163E+01                 -0.748026E+01                  0.172800E+01                 -0.161979E+01                  0.164100E+00                 -0.364827E+00                  0.784963E+01                  0.920826E+01                  0.334779E+01                 -0.135863E+01                  0.450184E+01                  0.586047E+01                 -0.439363E+01                 -0.575226E+01                  0.108210E+00                 -0.136019E+02                 -0.774142E+01                 -0.910005E+01
                          2760                  0.679513E-06                  0.475403E-05                  0.319890E+03                  0.467197E+01                 -0.616780E+01                 -0.532294E+01                  0.250500E+01                  0.669500E+00                  0.153600E-01                 -0.187829E-01                  0.867280E+01                  0.782794E+01                  0.183550E+01                  0.844864E+00                  0.683730E+01                  0.599244E+01                 -0.366280E+01                 -0.281794E+01                  0.317450E+01                 -0.114907E+02                 -0.549830E+01                 -0.465344E+01
                          3611                  0.452853E-06                  0.113729E-05                  0.179887E+03                  0.351998E+01                 -0.634404E+01                 -0.594413E+01                  0.225500E+01                  0.546540E+00                 -0.660100E-01                 -0.112849E+00                  0.859904E+01                  0.819913E+01                  0.170846E+01                  0.399913E+00                  0.689058E+01                  0.649067E+01                 -0.408904E+01                 -0.368913E+01                  0.280154E+01                 -0.122882E+02                 -0.579750E+01                 -0.539759E+01
                          2434                  0.328118E-06                  0.199694E-06                  0.794328E+02                  0.320000E+00                 -0.648397E+01                 -0.669963E+01                  0.190000E+01                 -0.494850E+00                 -0.168800E+00                 -0.454536E+00                  0.838397E+01                  0.859963E+01                  0.239485E+01                 -0.215665E+00                  0.598912E+01                  0.620478E+01                 -0.458397E+01                 -0.479963E+01                  0.140515E+01                 -0.131836E+02                 -0.697882E+01                 -0.719448E+01
                          2849                  0.455668E-06                  0.375499E-06                  0.935406E+02                  0.126101E+01                 -0.634135E+01                 -0.642539E+01                  0.197100E+01                  0.100720E+00                 -0.231900E-01                 -0.145138E+00                  0.831235E+01                  0.839639E+01                  0.187028E+01                 -0.840395E-01                  0.644207E+01                  0.652611E+01                 -0.437035E+01                 -0.445439E+01                  0.207172E+01                 -0.127667E+02                 -0.624063E+01                 -0.632467E+01
                           909                  0.242352E-06                  0.312248E-06                  0.141254E+03                  0.831994E+00                 -0.661555E+01                 -0.650550E+01                  0.215000E+01                 -0.798800E-01                 -0.313400E+00                 -0.479167E+00                  0.876555E+01                  0.865550E+01                  0.222988E+01                  0.110054E+00                  0.653567E+01                  0.642562E+01                 -0.446555E+01                 -0.435550E+01                  0.207012E+01                 -0.131211E+02                 -0.669543E+01                 -0.658538E+01
                          2529                  0.515491E-06                  0.226296E-06                  0.107895E+03                  0.256000E+00                 -0.628778E+01                 -0.664532E+01                  0.203300E+01                 -0.591760E+00                  0.285700E-01                 -0.286411E+00                  0.832078E+01                  0.867832E+01                  0.262476E+01                 -0.357544E+00                  0.569602E+01                  0.605356E+01                 -0.425478E+01                 -0.461232E+01                  0.144124E+01                 -0.129331E+02                 -0.687954E+01                 -0.723708E+01
                          2056                  0.748576E-06                  0.163238E-05                  0.407380E+03                  0.179201E+01                 -0.612576E+01                 -0.578718E+01                  0.261000E+01                  0.253340E+00                  0.260000E-02                 -0.882007E-01                  0.873576E+01                  0.839718E+01                  0.235666E+01                  0.338586E+00                  0.637910E+01                  0.604052E+01                 -0.351576E+01                 -0.317718E+01                  0.286334E+01                 -0.119129E+02                 -0.587242E+01                 -0.553384E+01
